Hybridization REF	p	difference	q	subclass
RAD50	0.0448759268694598	-0.043956043956044	0.0981660900269433	7
TET2	0.0245117352059073	-0.0549450549450549	0.0571940488137837	7
KIAA1671	0.0245117352059073	-0.0549450549450549	0.0571940488137837	7
SAMHD1	0.0134805483949578	-0.0659340659340659	0.0428926539839566	7
BORCS8-MEF2B	0.0134805483949578	-0.0659340659340659	0.0428926539839566	7
KMT2C	0.0134805483949578	-0.0659340659340659	0.0428926539839566	7
DELETION_12P13.2	0.0134805483949578	-0.0659340659340659	0.0428926539839566	7
SPEN	0.00743728092880808	-0.0769230769230769	0.0371864046440404	7
S1PR1	0.00743728092880808	-0.0769230769230769	0.0371864046440404	7
AMPLIFICATION_13Q31.3	0.0200716453213817	-0.0879120879120879	0.0571940488137837	7
TP53	0.00226523724737774	-0.0989010989010989	0.0158566607316442	7
CARD11	0.00124694783793621	-0.10989010989011	0.0109107935819418	7
DELETION_9P21.1	5.93620570224367e-05	-0.164835164835165	0.00103883599789264	7
DELETION_9P21.3	8.92772080382221e-06	-0.197802197802198	0.000312470228133777	7
HLA-C	0.0466582999714673	0.504761904761905	0.10886936660009	8
KIAA1671	0.0245020955512088	-0.0555555555555556	0.061255238878022	8
BORCS8-MEF2B	0.0134711129658071	-0.0666666666666667	0.0362683810617883	8
KMT2C	0.0134711129658071	-0.0666666666666667	0.0362683810617883	8
DELETION_12P13.2	0.0134711129658071	-0.0666666666666667	0.0362683810617883	8
S1PR1	0.00742920681420601	-0.0777777777777778	0.0288913598330234	8
TP53	0.00226046238930639	-0.1	0.00988952295321546	8
DELETION_6Q21	3.14970870924376e-05	-0.177777777777778	0.000183733008039219	8
DELETION_TP53	8.34431845672786e-05	-0.211111111111111	0.000417215922836393	8
AMPLIFICATION_15Q21.2	1.7366134928041e-05	-0.266666666666667	0.000121562944496287	8
AMPLIFICATION-8Q23.2-8Q24.21	1.72307221313355e-05	-0.3	0.000121562944496287	8
AMPLIFICATION_14Q32.33	2.65869310630756e-07	-0.355555555555556	3.10180862402549e-06	8
DELETION_19P13.3	1.76130418526803e-11	-0.4	3.08228232421905e-10	8
ATM	8.66300634247624e-14	-0.466666666666667	3.03205221986668e-12	8
AMPLIFICATION-3Q22.1-3Q22.3	0.0119958550498208	-0.501587301587302	0.0362683810617883	8
