GENE,MYC.cn,MYC,MYC.gep.median.centered,,PIK3CA.cn,PIK3CA.gep,PIK3CA.gep.median.centered,EIF4G1.cn,EIF4G1.gep,EIF4G1.gep.median.centered,ATR.cn,ATR.gep,ATR.gep.median.centered,CPSF1.cn,CPSF1.gep,CPSF1.gep.median.centered,TOPBP1.cn,TOPBP1.gep,TOPBP1.gep.median.centered,CCNE2.cn,CCNE2.gep,CCNE2.gep.median.centered,SKIL.cn,SKIL.gep,SKIL.gep.median.centered,RUVBL1.cn,RUVBL1.gep,TFDP2.cn,TFDP2.gep,TFDP2.gep.median.centered,PAK2.cn,PAK2.gep,PAK2.gep.median.centered,ISY1.cn,ISY1.gep,PUF60.cn,PUF60.gep,DVL3.cn,DVL3.gep,DVL3.gep.median.centered,PDCD10.cn,PDCD10.gep,SERPINI1.cn,SERPINI1.gep
47_022,1,3.477239,0.837239,0.829519,1,4.435569,1.020348,1,6.00904,0.688744,0,4.377001804,0.144811804,1,4.353652,0.286669,0,4.463281,0.319828,1,1.871016917,1.308452917,1,5.46682,0.590094,0,2.70016,0,3.399928,-0.4999,1,5.175708,0.62627,0,1.590846,1,3.170885,1,4.292381,0.093918,1,2.919159,1,1.765384
47_023,0,2.833138,0.193138,0.185418,0,2.850364,-0.564857,0,5.183929,-0.136367,0,3.898736569,-0.333453431,0,2.847916,-1.219067,0,3.675315,-0.468138,0,0.562564198,1.98E-07,0,4.665769,-0.210957,0,1.94453,0,3.82721,-0.072618,0,4.210271,-0.339167,0,1.331288,0,2.157213,0,4.000338,-0.198125,0,2.037702,0,1.053851
Group5.1,0,2.845358,0.205358,0.197638,0,3.358383,-0.056838,0,4.855147,-0.465149,0,4.302038021,0.069848021,0,3.404245,-0.662738,0,3.98981,-0.153643,0,0.464646578,-0.097917422,0,5.429934,0.553208,0,1.730682,0,3.952164,0.052336,0,4.268882,-0.280556,0,1.713641,0,2.353767,0,3.914442,-0.284021,0,2.055456,0,0.8932761
Group4.11,0,3.670941,1.030941,1.023221,0,3.395789,-0.019432,0,5.390264,0.069968,0,4.156130116,-0.076059884,0,4.060645,-0.006338,0,4.534024,0.390571,0,1.381113488,0.818549488,0,5.249509,0.372783,0,2.65479,0,3.564583,-0.335245,0,4.671399,0.121961,0,1.4149,0,2.633423,0,4.019144,-0.179319,0,1.678662,0,0.6934889
Group5.6,0,3.102307,0.462307,0.454587,0,3.252143,-0.163078,0,5.352395,0.032099,0,4.340300266,0.108110266,0,4.066983,0,0,4.047114,-0.096339,0,0.67448685,0.11192285,0,4.199793,-0.676933,0,1.98866,0,3.484113,-0.415715,0,4.511019,-0.038419,0,1.52596,0,2.490371,0,3.754212,-0.444251,0,1.929114,0,0.803257
Group5.8,0,1.642266,-0.997734,-1.005454,0,3.52259,0.107369,0,5.091454,-0.228842,0,4.195272338,-0.036917662,0,3.584528,-0.482455,0,4.206806,0.063353,0,0.879878617,0.317314617,0,4.336965,-0.539761,0,1.8287,0,3.76254,-0.137288,0,4.423536,-0.125902,0,1.48335,0,2.247771,0,4.039977,-0.158486,0,2.10009,0,1.24845
Group5.10,0,2.444009,-0.195991,-0.203711,0,3.505762,0.090541,0,5.272411,-0.047885,0,4.339281034,0.107091034,0,3.571915,-0.495068,0,4.058444,-0.085009,0,0.550556878,-0.012007122,0,4.644521,-0.232205,0,2.191209,0,3.649379,-0.250449,0,4.957248,0.40781,0,1.39302,0,2.36966,0,3.852752,-0.345711,0,2.092959,0,0.7157279
Group6.1,0,2.735706,0.095706,0.087986,1,3.852924,0.437703,1,5.210843,-0.109453,1,4.754177351,0.521987351,0,3.081592,-0.985391,1,4.247118,0.103665,0,0.403741412,-0.158822588,1,5.133319,0.256593,1,1.986738,1,3.958939,0.059111,1,4.885144,0.335706,1,1.786806,0,2.296664,1,4.382042,0.183579,1,2.54696,1,1.322329
Group7.2,1,3.008996,0.368996,0.361276,1,4.373042,0.957821,1,6.1267,0.806404,1,4.971467899,0.739277899,1,3.835794,-0.231189,1,5.359913,1.21646,1,1.315405186,0.752841186,1,5.890994,1.014268,1,3.113952,1,4.825436,0.925608,1,5.705459,1.156021,1,1.985622,1,2.874078,1,5.06662,0.868157,1,2.803342,1,0.9945663
Group7.14,1,3.536662,0.896662,0.888942,1,3.9458,0.530579,1,5.808665,0.488369,1,4.673533753,0.441343753,1,4.234285,0.167302,0,4.474586,0.331133,0,0.773358866,0.210794866,1,5.594788,0.718062,0,2.333873,1,4.128685,0.228857,1,4.842693,0.293255,0,1.486074,1,2.560022,1,4.198463,0,1,2.261199,1,1.414764
